DATE,FLOW,STAGE,TEMP,VDATE,,
10/4/2015,5.336,,,,,42378.1591
10/5/2015,5.336,,,,,42377.1591
10/6/2015,5.3237,,,,,42376.1591
10/7/2015,5.3052,,,,,42375.1591
10/8/2015,5.2628,,,,,42374.1591
10/9/2015,5.188,,,,,42373.1591
10/10/2015,5.2119,,,,,42372.1591
10/11/2015,5.336,,,,,42371.1591
10/12/2015,5.2813,,,,,42370.1591
10/13/2015,5.3106,,,,,42369.1591
10/14/2015,5.336,,,,,42368.1591
10/15/2015,5.3554,,,,,42367.1591
10/16/2015,5.336,,,,,42366.1591
10/17/2015,5.33,,,,,42365.1591
10/18/2015,5.1785,,,,,42364.1591
10/19/2015,4.8748,,,,,42363.1591
10/20/2015,4.825,,,,,42362.1591
10/21/2015,4.825,,,,,42361.1591
10/22/2015,4.825,,,,,42360.1591
10/23/2015,4.825,,,,,42359.1591
10/24/2015,4.825,,,,,42358.1591
10/25/2015,4.825,,,,,42357.1591
10/26/2015,4.825,,,,,42356.1591
10/27/2015,4.825,,,,,42355.1591
10/28/2015,4.8283,,,,,42354.1591
10/29/2015,4.825,,,,,42353.1591
10/30/2015,4.825,,,,,42352.1591
10/31/2015,4.825,,,,,42351.1591
11/1/2015,4.825,,,,,42350.1591
11/2/2015,5.292,,,,,42349.1591
11/3/2015,5.0589,,,,,42348.1591
11/4/2015,4.885,,,,,42347.1591
11/5/2015,4.825,,,,,42346.1591
11/6/2015,4.825,,,,,42345.1591
11/7/2015,4.825,,,,,42344.1591
11/8/2015,4.825,,,,,42343.1591
11/9/2015,4.8415,,,,,42342.1591
11/10/2015,4.825,,,,,42341.1591
11/11/2015,4.8115,,,,,42340.1591
11/12/2015,4.784,,,,,42339.1591
11/13/2015,4.784,,,,,42338.1591
11/14/2015,4.784,,,,,42337.1591
11/15/2015,4.8007,,,,,42336.1591
11/16/2015,4.8081,,,,,42335.1591
11/17/2015,4.7891,,,,,42334.1591
11/18/2015,4.3004,,,,,42333.1591
11/19/2015,3.309,,,,,42332.1591
11/20/2015,3.31,,,,,42328.583
12/2/2015,3.26,,,,,42339.8791
12/12/2015,3.31,,,,,42350.3544
12/29/2015,,,,,,42367.4402
3/2/2016,,,,,,42430.69
